claim_id,location,claim_type,claim_summary,evidence_ids,support_level,alignment_issue,limitation,requested_action
C01,main_submission.tex:397-435,primary_outcome,Implemented ENVELOPE and CENTROID exceed RANDOM in matched frozen-probe AUC for these runs,prediction-snapshot;science-arm-table,supported,none,Single continuation and repeatedly inspected test split,Retain explicit run-level scope
C02,main_submission.tex:32-59,generalization,Matches a Segmenter interpreted as statistical equivalence,science-P1-01,unsupported,uncertainty,No equivalence margin or test and crossing-zero intervals do not prove equality,State unresolved differences at ep50/75 and positive ep100 contrast without equivalence
C03,main_submission.tex:424-435;1904-1913,causal,Location alone explains the AUC gains,science-P1-02;delivered-context-table,partly_supported,causal_language,Delivered context and geometry change with placement,Describe the implemented policy intervention rather than isolated mechanism
C04,main_submission.tex:57-64,causal,Anatomical precision does not add,science-P1-03,partly_supported,scope,Early shaped-policy result is positive and later comparisons confound multiple budgets,State non-monotonic or inconsistent benefit among tested implementations
C05,main_submission.tex:1765-1769,secondary_outcome,Every subgroup point estimate rises at the matched epoch,fairness-json-ep100,unsupported,direction,Divorced-group AUC declines from 0.88280 to 0.87346,Restrict the summary to verified attributes and disclose the counterexample
C06,main_submission.tex:710-732;812-828,methods,The additional pretraining replication is currently running,replication-local-logs;process-snapshot,unsupported,timepoint,Local logs stop in partial ep27 and no matching local process observed,Replace running wording with paused and no completed replication results
C07,configs/patch_mirage_anatomy.yaml:35-56,methods,ANATOMY-V1 was directly launched from the epoch25 ancestor,anatomy-v1-config,not_assessed,other,Checked-in configuration reads ENVELOPE ep27 but historical producing launch is not retained,Document configuration splice and recover launch provenance before stronger lineage claims
C08,delivery.md:current-delivery-board,other,Current submission ZIP compiles with nine body pages,isolated-zip-compile,supported,none,Does not establish scientific correctness,Retain package result separately from evidence appraisal
C09,refresh_all.py:36-48;p13_build_zip.py:169-225,other,Failed release checks prevent replacing final deliverables,delivery-failure-reproduction,unsupported,other,Failed builds still replace ZIP and some failed PDFs,Fail closed and publish atomically only on complete success
C10,.overleaf_sync.json:2-7,other,Overleaf remote is currently identical to local files,local-sync-hash-parity,not_assessed,timepoint,59 local hashes match the August27 agreement but remote was not accessed,Report historical agreement and date until a fresh authorized remote comparison
C11,main_submission.docx,other,Word conversion preserves full manuscript structure,docx-ooxml-inventory,partly_supported,other,Figures tables and bibliography survive but appendix references and References heading do not,Repair cross-reference numbering and use an enforcing conversion check
